Nomor	Tanggal	Cabang	Area	Jumlah Teller	Jumlah Transaksi Teller	Rata-Rata Transaksi per Teller	Keterangan Teller	Jumlah CS	Jumlah Transaksi CS	Rata-Rata Transaksi CS	Jenis Transaksi Dominan Teller	Jenis Transaksi Dominan CS	Nasabah Teller terakhir dilayani	Nasabah CS Terakhir dilayani
1	05/07/2021	Asia Afrika Utara	BAA	4	425	106	Medium	4	61	15	setor tarik	ganti kartu atm	16.15	15.20
2	05/07/2021	Asia Afrika Selatan	BAA	3	510	170	Over	3	45	15	Setor tunai, pindah buku dan transfer ke bank lain	ganti kartu atm	16.00	15.15
3	05/07/2021	Soekarno-Hatta	BAA	4	485	121	Medium	4	105	26	setor dan kliring	ganti kartu	16.00	16.00
4	05/07/2021	Binacitra	BAA	2	340	170	Over	3	75	25	setoran, transfer pinbuk	ganti kartu atm	16.00	16.00
5	05/07/2021	Kiara Condong	BAA	2	397	199	Over	3	110	37	setor tunai 	ganti kartu chip dan kartu skiming 	15.05	15.10
6	05/07/2021	Buah Batu	BAA	3	220	73	Under	3	75	25	setor tunai	penggantian kartu debit terblokir 32 upgrade	15.30	15.30
7	05/07/2021	Kopo	BAA	2	490	245	Over	3	81	27	Setoran dan trf pindah buku	Ganti Atm	16.15	15.50
8	05/07/2021	Siliwangi	BAA	2	255	128	Medium	4	65	16	Setoran dan transaksi menggunakan Cek	Penggantian Kartu Debit	15.05	15.10
9	05/07/2021	Burangrang	BAA	3	350	117	Medium	2	62	31	Setoran tunai 	Ganti ATM	15.30	15.30
10	05/07/2021	Mohamad Toha	BAA	2	285	143	Medium	2	60	30	Setoran Tunai	Ganti Kartu ATM	15.12	15.10
11	05/07/2021	Soreang	BAA	3	400	133	Medium	3	101	34	Setor dan tarik	Ganti kartu atm	15.25	15.30
12	05/07/2021	Dayeuhkolot	BAA	3	259	86	Under	2	73	37	Setor Tunai	Ganti Kartu Debit	17.00	17.00
13	05/07/2021	Pasir Kaliki	BAA	2	272	136	Medium	2	50	25	Setoran	Ganti kartu	14.40	14.40
14	05/07/2021	Majalaya	BAA	2	335	168	Optimum	2	54	27	Setor	Ganti kartu	15.10	15.05
15	05/07/2021	Banjaran	BAA	2	235	118	Medium	3	136	45	Setoran 	Ganti atm dan buka blokir	16.06	17.04
16	05/07/2021	Pangalengan	BAA	1	185	185	Over	1	35	35	Setoran tunai	Ganti kartu	16.00	15.00
17	05/07/2021	Cijerah	BAA	1	165	165	Optimum	1	36	36	setoran tunai dan pembayaran	pergantian kartu atm, buka rekening	15.10	15.30
18	06/07/2021	Asia Afrika Utara	BAA	4	470	118	Medium	4	55	14	setoran	ganti kartu	15.40	15.25
19	06/07/2021	Asia Afrika Selatan	BAA	3	673	224	Over	3	48	16	Pindah buku , transfer ke bank lain	Ganti kartu dan daftar 	16.25	15.10
20	06/07/2021	Soekarno-Hatta	BAA	3	420	140	Medium	4	100	25	Setoran	ganti atm upgrade	16.00	16.00
21	06/07/2021	Binacitra	BAA	3	410	137	Medium	3	50	17	setoran	ganti kartu	15.30	15.30
22	06/07/2021	Kiara Condong	BAA	3	256	85	Under	3	104	35	setoran dan penarikan	ganti kartu dan daftar 	14.57	14.55
23	06/07/2021	Buah Batu	BAA	4	310	78	Under	3	71	24	Setor tunai	Ganti kartu	16.15	16.30
24	06/07/2021	Kopo	BAA	2	280	140	Medium	3	81	27	Setor tunai, trf pinbuk,tarik tunai	Ganti atm,cetak rk,buka rek	15.45	15.30
25	06/07/2021	Siliwangi	BAA	2	202	101	Medium	4	56	14	Setoran dan SKN	Penggantian Kartu	15.22	15.20
26	06/07/2021	Burangrang	BAA	2	190	95	Under	2	32	16	Setoran 	Penggantian ATM	15.00	15.00
27	06/07/2021	Mohamad Toha	BAA	2	290	145	Medium	2	51	26	Setoran Tunai	Ganti kartu dan aktivasi  by 	15.07	14.55
28	06/07/2021	Soreang	BAA	3	302	101	Medium	3	142	47	Setor dan tarik	Ganti kartu dan buka rekening	15.04	15.30
29	06/07/2021	Dayeuhkolot	BAA	2	186	93	Under	2	83	42	setor tunai	penggantian kartu	15.00	16.00
30	06/07/2021	Pasir Kaliki	BAA	2	149	75	Under	2	26	13	Setoran	Buka kartu	14.40	14.40
31	06/07/2021	Majalaya	BAA	3	675	225	Over	2	61	31	Setor dan payroll	Ganti kartu	15.45	15.30
32	06/07/2021	Banjaran	BAA	2	215	108	Medium	3	95	32	Setoran 	Ganti atm	16.00	16.00
33	06/07/2021	Pangalengan	BAA	1	119	119	Medium	1	40	40	Setoran tunai	Ganti kartu debit	15.00	15.15
34	06/07/2021	Cijerah	BAA	2	180	90	Under	1	40	40	setor tunai dan pembayaran	ganti kartu, aktivasi mandol krn ganti nomor	16.00	15.54
35	07/07/2021	Asia Afrika Utara	BAA	4	362	91	Under	3	32	11	Setor tarik	Ganti kartu	15.20	14.55
36	07/07/2021	Asia Afrika Selatan	BAA	3	326	109	Medium	4	25	6	Setor tunai, pinbuk	Ganti kartu	15.15	15.20
37	07/07/2021	Soekarno-Hatta	BAA	4	343	86	Under	4	90	23	setoran tunai	ganti atm upgrade	15.00	15.00
38	07/07/2021	Binacitra	BAA	3	304	101	Medium	3	35	12	Setoran	Ganti kartu	15.00	15.15
39	07/07/2021	Kiara Condong	BAA	3	244	81	Under	3	82	27	Setoran	ganti kartu atm dan daftar  	15.05	14.55
40	07/07/2021	Buah Batu	BAA	3	271	90	Under	3	59	20	setor dan penarikan	ganti kartu debit	15.00	15.00
41	07/07/2021	Kopo	BAA	2	290	145	Medium	3	71	24	Setor tunai, trf pinbuk, multi payment	Ganti Atm, Buka Rek Tab, MTR, Cetak Rk	15.20	15.30
42	07/07/2021	Siliwangi	BAA	2	217	109	Medium	4	48	12	Setoran dan penarikan	Penggantian Kartu Debit	15.05	15.03
43	07/07/2021	Burangrang	BAA	2	202	101	Medium	1	26	26	Setoran dan tarik tunai	Penggantian kartu ATM	15.00	15.00
44	07/07/2021	Mohamad Toha	BAA	2	253	127	Medium	2	50	25	Setoran Tunai	Ganti Kartu ATM & Aktivasi  by 	15.10	15.03
45	07/07/2021	Soreang	BAA	3	280	93	Under	3	163	54	Setor tunai	Pergantian kartu dan buka rekening	14.45	15.06
46	07/07/2021	Dayeuhkolot	BAA	2	220	110	Medium	2	80	40	setor tunai	penggantian kartu	15.30	16.30
47	07/07/2021	Pasir Kaliki	BAA	2	161	81	Under	2	15	8	Setoran	Buka kartu	14.40	14.40
48	07/07/2021	Majalaya	BAA	2	256	128	Medium	2	54	27	Setor	Ganti kartu	15.20	15.15
49	07/07/2021	Banjaran	BAA	2	210	105	Medium	2	120	60	Setoran tunai	Ganti kartu	15.03	15.30
50	07/07/2021	Pangalengan	BAA	1	146	146	Medium	1	35	35	Setoran tunai	Ganti kartu	15.00	15.30
51	07/07/2021	Cijerah	BAA	1	181	181	Over	1	36	36	Setor tunai	Ganti kartu,buka tabungan	15.25	15.15
